action,alert,assigned_project,change,department,device,document,employee_id,event_type,file,instrument,name,office,recipient_department,record,role,security_clearance,status,system,timestamp
,,HELIX,,Research,,,LT-003,login,,,Mary Blackburn,Boston,,,Laboratory Technician,Restricted,,,2026-01-09 07:30:00
,,Sample Processing,,Research,,,LT-043,login,,,Logan Sanchez,Tucson,,,Laboratory Technician,Restricted,,,2026-01-09 07:30:00
,,Sample Processing,,Research,,,LT-006,login,,,Catherine Patterson,Boston,,,Laboratory Technician,Restricted,,,2026-01-09 07:31:00
,,Sample Processing,,Research,,,LT-009,login,,,Lisa Pena,Boston,,,Laboratory Technician,Restricted,,,2026-01-09 07:32:00
,,Laboratory Operations,,Research,,,LT-020,login,,,Matthew Coleman,Boston,,,Laboratory Technician,Restricted,,,2026-01-09 07:33:00
,,HELIX,,Research,,,LT-007,login,,,David Carroll,Boston,,,Laboratory Technician,Restricted,,,2026-01-09 07:34:00
,,HELIX,,Research,,,LT-017,login,,,Amanda Ward,Tucson,,,Laboratory Technician,Restricted,,,2026-01-09 07:34:00
,,HELIX,,Research,,,LT-029,login,,,Paul Johnson,Boston,,,Laboratory Technician,Restricted,,,2026-01-09 07:34:00
,,Sample Processing,,Research,,,LT-033,login,,,Christine Rice,Boston,,,Laboratory Technician,Restricted,,,2026-01-09 07:34:00
,,Infrastructure,,Information Technology,,,IT-017,login,,,Jonathan May,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-09 07:35:00
,,Laboratory Operations,,Research,,,LT-038,login,,,Brett Gardner,Boston,,,Laboratory Technician,Restricted,,,2026-01-09 07:36:00
,,Sample Processing,,Research,,,LT-026,login,,,Robin Wood,Tucson,,,Laboratory Technician,Restricted,,,2026-01-09 07:37:00
,,Sample Processing,,Research,,,LT-036,login,,,Tyler Garza,Tucson,,,Laboratory Technician,Restricted,,,2026-01-09 07:37:00
,,Laboratory Operations,,Research,,,LT-041,login,,,Michael Johnson,Boston,,,Laboratory Technician,Restricted,,,2026-01-09 07:37:00
,,HELIX,,Research,,,LT-014,login,,,Nicole Bailey,Tucson,,,Laboratory Technician,Restricted,,,2026-01-09 07:39:00
,,Endpoint Security,,Information Technology,,,IT-016,login,,,Sean Ellis,Boston,,,IT Security Administrator,Trade Secret,,,2026-01-09 07:39:00
,,Sample Processing,,Research,,,LT-001,login,,,Charles Snyder,Boston,,,Laboratory Technician,Restricted,,,2026-01-09 07:40:00
,,Laboratory Operations,,Research,,,LT-011,login,,,Leslie Mejia,Tucson,,,Laboratory Technician,Restricted,,,2026-01-09 07:40:00
,,Payroll,,Finance,,,FA-017,login,,,James Gibbs,Tucson,,,Finance Analyst,Confidential,,,2026-01-09 07:40:00
,,Cloud Migration,,Information Technology,,,IT-010,login,,,Brenda Malone,Boston,,,IT Security Administrator,Trade Secret,,,2026-01-09 07:40:00
,,Laboratory Operations,,Research,,,LT-015,login,,,Jacob Martinez,Tucson,,,Laboratory Technician,Restricted,,,2026-01-09 07:41:00
,,HELIX,,Research,,,LT-025,login,,,Lauren Oconnell,Boston,,,Laboratory Technician,Restricted,,,2026-01-09 07:41:00
,,HELIX,,Research,,,LT-034,login,,,Judy Cooke,Tucson,,,Laboratory Technician,Restricted,,,2026-01-09 07:41:00
,,Laboratory Operations,,Research,,,LT-022,login,,,Antonio Summers,Tucson,,,Laboratory Technician,Restricted,,,2026-01-09 07:42:00
,,HELIX,,Research,,,LT-044,login,,,Scott Buck,Tucson,,,Laboratory Technician,Restricted,,,2026-01-09 07:42:00
,,Payroll,,Finance,,,FA-007,login,,,Jonathan Anderson,Boston,,,Finance Analyst,Confidential,,,2026-01-09 07:42:00
,,Procurement,,Finance,,,FA-030,login,,,Molly Moore,Tucson,,,Finance Analyst,Confidential,,,2026-01-09 07:42:00
,,Payroll,,Finance,,,FA-031,login,,,Larry Bender,Tucson,,,Finance Analyst,Confidential,,,2026-01-09 07:42:00
,,Sample Processing,,Research,,,LT-016,login,,,Elizabeth Anderson,Boston,,,Laboratory Technician,Restricted,,,2026-01-09 07:43:00
,,Procurement,,Finance,,,FA-034,login,,,Steven Stevens,Boston,,,Finance Analyst,Confidential,,,2026-01-09 07:43:00
,,Payroll,,Finance,,,FA-035,login,,,Christopher Patterson,Tucson,,,Finance Analyst,Confidential,,,2026-01-09 07:43:00
,,Payroll,,Finance,,,FA-009,login,,,Debra Fisher,Tucson,,,Finance Analyst,Confidential,,,2026-01-09 07:44:00
,,Procurement,,Finance,,,FA-016,login,,,Jacqueline Baker,Boston,,,Finance Analyst,Confidential,,,2026-01-09 07:44:00
,,Sample Processing,,Research,,,LT-032,login,,,Teresa Calderon,Boston,,,Laboratory Technician,Restricted,,,2026-01-09 07:45:00
,,FDA Submission,,Regulatory Affairs,,,RA-001,login,,,Ryan Anderson,Boston,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 07:45:00
,,FDA Submission,,Regulatory Affairs,,,RA-038,login,,,Erin Mcintyre,Tucson,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 07:45:00
,,Budget Planning,,Finance,,,FA-013,login,,,Gerald Liu,Boston,,,Finance Analyst,Confidential,,,2026-01-09 07:45:00
,,Budget Planning,,Finance,,,FA-019,login,,,Brenda Park,Tucson,,,Finance Analyst,Confidential,,,2026-01-09 07:45:00
,,Laboratory Operations,,Research,,,LT-012,login,,,Ashley Martin,Boston,,,Laboratory Technician,Restricted,,,2026-01-09 07:46:00
,,Sample Processing,,Research,,,LT-045,login,,,John Santos,Boston,,,Laboratory Technician,Restricted,,,2026-01-09 07:46:00
,,Procurement,,Finance,,,FA-010,login,,,Joseph Beasley,Tucson,,,Finance Analyst,Confidential,,,2026-01-09 07:46:00
,,Procurement,,Finance,,,FA-029,login,,,Maria Robinson,Tucson,,,Finance Analyst,Confidential,,,2026-01-09 07:46:00
,,Budget Planning,,Finance,,,FA-033,login,,,Carl Johnson,Boston,,,Finance Analyst,Confidential,,,2026-01-09 07:46:00
,,Identity Modernization,,Information Technology,,,IT-035,login,,,Carrie Mays,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-09 07:46:00
,,Sample Processing,,Research,,,LT-004,login,,,Madeline Valentine,Tucson,,,Laboratory Technician,Restricted,,,2026-01-09 07:47:00
,,HELIX,,Regulatory Affairs,,,RA-013,login,,,William Powell,Boston,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 07:47:00
,,Budget Planning,,Finance,,,FA-023,login,,,Zachary Becker,Tucson,,,Finance Analyst,Confidential,,,2026-01-09 07:47:00
,,HELIX,,Research,,,LT-019,login,,,James Galloway,Tucson,,,Laboratory Technician,Restricted,,,2026-01-09 07:48:00
,,HELIX,,Research,,,LT-042,login,,,Paul Campos,Tucson,,,Laboratory Technician,Restricted,,,2026-01-09 07:48:00
,,Payroll,,Finance,,,FA-001,login,,,Lori Gibson,Tucson,,,Finance Analyst,Confidential,,,2026-01-09 07:48:00
,,Payroll,,Finance,,,FA-004,login,,,Ryan Stuart,Boston,,,Finance Analyst,Confidential,,,2026-01-09 07:48:00
,,Procurement,,Finance,,,FA-012,login,,,Cory Hammond,Tucson,,,Finance Analyst,Confidential,,,2026-01-09 07:48:00
,,Budget Planning,,Finance,,,FA-028,login,,,Jamie Cannon,Tucson,,,Finance Analyst,Confidential,,,2026-01-09 07:48:00
,,Laboratory Operations,,Research,,,LT-027,login,,,Tina Conley,Tucson,,,Laboratory Technician,Restricted,,,2026-01-09 07:49:00
,,HELIX,,Regulatory Affairs,,,RA-003,login,,,Johnathan Marshall,Boston,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 07:49:00
,,HELIX,,Regulatory Affairs,,,RA-005,login,,,Tracy Anderson,Boston,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 07:49:00
,,FDA Submission,,Regulatory Affairs,,,RA-022,login,,,Elizabeth Potter,Boston,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 07:49:00
,,Identity Modernization,,Information Technology,,,IT-004,login,,,Edward Schmitt,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-09 07:49:00
,,Infrastructure,,Information Technology,,,IT-018,login,,,Samantha Jackson,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-09 07:49:00
,,HELIX,,Research,,,LT-023,login,,,Stephanie Miller,Tucson,,,Laboratory Technician,Restricted,,,2026-01-09 07:50:00
,,Laboratory Operations,,Research,,,LT-031,login,,,Dylan Martin,Boston,,,Laboratory Technician,Restricted,,,2026-01-09 07:50:00
,,Payroll,,Finance,,,FA-002,login,,,Paul Dixon,Tucson,,,Finance Analyst,Confidential,,,2026-01-09 07:50:00
,,Learning & Development,,Human Resources,,,HR-009,login,,,Sharon Wilson,Boston,,,Human Resources Specialist,Restricted,,,2026-01-09 07:50:00
,,Sample Processing,,Research,,,LT-002,login,,,Doris Singh,Boston,,,Laboratory Technician,Restricted,,,2026-01-09 07:51:00
,,FDA Submission,,Regulatory Affairs,,,RA-007,login,,,Roger Frederick,Boston,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 07:51:00
,,Quality Compliance,,Regulatory Affairs,,,RA-020,login,,,Krista Hurst,Boston,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 07:51:00
,,Quality Compliance,,Regulatory Affairs,,,RA-028,login,,,Andrew Payne,Tucson,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 07:51:00
,,Budget Planning,,Finance,,,FA-003,login,,,Kimberly Kramer,Boston,,,Finance Analyst,Confidential,,,2026-01-09 07:51:00
,,Payroll,,Finance,,,FA-014,login,,,Andrew White,Tucson,,,Finance Analyst,Confidential,,,2026-01-09 07:51:00
,,HELIX,,Research,,,LT-035,login,,,Toni Santos,Boston,,,Laboratory Technician,Restricted,,,2026-01-09 07:52:00
,,HELIX,,Research,,,LT-039,login,,,Kirsten Collins,Boston,,,Laboratory Technician,Restricted,,,2026-01-09 07:52:00
,,FDA Submission,,Regulatory Affairs,,,RA-023,login,,,Michelle Paul,Tucson,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 07:52:00
,,Procurement,,Finance,,,FA-006,login,,,Bryan Jones,Tucson,,,Finance Analyst,Confidential,,,2026-01-09 07:52:00
,,Procurement,,Finance,,,FA-024,login,,,Steven Walton,Boston,,,Finance Analyst,Confidential,,,2026-01-09 07:52:00
,,Budget Planning,,Finance,,,FA-026,login,,,Tammy Lopez,Boston,,,Finance Analyst,Confidential,,,2026-01-09 07:52:00
,,Budget Planning,,Finance,,,FA-027,login,,,Joseph Lee,Boston,,,Finance Analyst,Confidential,,,2026-01-09 07:52:00
,,Learning & Development,,Human Resources,,,HR-012,login,,,Angela Vazquez,Boston,,,Human Resources Specialist,Restricted,,,2026-01-09 07:52:00
,,Recruiting,,Human Resources,,,HR-014,login,,,Tina Lewis,Boston,,,Human Resources Specialist,Restricted,,,2026-01-09 07:52:00
,,Identity Modernization,,Information Technology,,,IT-005,login,,,Tamara Pacheco,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-09 07:52:00
,,Endpoint Security,,Information Technology,,,IT-022,login,,,Stephen Bridges,Boston,,,IT Security Administrator,Trade Secret,,,2026-01-09 07:52:00
,,Sample Processing,,Research,,,LT-013,login,,,Jill Hall,Tucson,,,Laboratory Technician,Restricted,,,2026-01-09 07:53:00
,,Laboratory Operations,,Research,,,LT-024,login,,,Sharon Henry,Tucson,,,Laboratory Technician,Restricted,,,2026-01-09 07:53:00
,,FDA Submission,,Regulatory Affairs,,,RA-030,login,,,Rachel Williams,Boston,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 07:53:00
,,Budget Planning,,Finance,,,FA-018,login,,,Jessica Haynes,Boston,,,Finance Analyst,Confidential,,,2026-01-09 07:53:00
,,Recruiting,,Human Resources,,,HR-006,login,,,Bruce Hurley,Boston,,,Human Resources Specialist,Restricted,,,2026-01-09 07:53:00
,,Sample Processing,,Research,,,LT-028,login,,,Rebecca Zavala,Tucson,,,Laboratory Technician,Restricted,,,2026-01-09 07:54:00
,,Laboratory Operations,,Research,,,LT-030,login,,,Christopher Flores,Boston,,,Laboratory Technician,Restricted,,,2026-01-09 07:54:00
,,HELIX,,Regulatory Affairs,,,RA-008,login,,,Donna Bell,Tucson,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 07:54:00
,,Quality Compliance,,Regulatory Affairs,,,RA-009,login,,,Valerie Cole,Tucson,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 07:54:00
,,Budget Planning,,Finance,,,FA-020,login,,,Carol King,Boston,,,Finance Analyst,Confidential,,,2026-01-09 07:54:00
,,Cloud Migration,,Information Technology,,,IT-015,login,,,Todd Reed,Boston,,,IT Security Administrator,Trade Secret,,,2026-01-09 07:54:00
,,Identity Modernization,,Information Technology,,,IT-020,login,,,Joshua Gray,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-09 07:54:00
,,Clinical Support,,Research,,,RS-032,login,,,Michael Sanders,Boston,,,Research Scientist,Trade Secret,,,2026-01-09 07:55:00
,,Biomarker Discovery,,Research,,,RS-043,login,,,Kenneth Holland,Boston,,,Research Scientist,Trade Secret,,,2026-01-09 07:55:00
,,Laboratory Operations,,Research,,,LT-005,login,,,Christopher Smith,Boston,,,Laboratory Technician,Restricted,,,2026-01-09 07:55:00
,,Budget Planning,,Finance,,,FA-011,login,,,Michael Rodriguez,Tucson,,,Finance Analyst,Confidential,,,2026-01-09 07:55:00
,,Payroll,,Finance,,,FA-021,login,,,Mary Velasquez,Tucson,,,Finance Analyst,Confidential,,,2026-01-09 07:55:00
,,Corporate Strategy,,Executive Leadership,,,EX-008,login,,,John Hall,Tucson,,,Executive Leadership,Trade Secret,,,2026-01-09 07:55:00
,,Analytical Chemistry,,Research,,,RS-008,login,,,Keith Miller,Tucson,,,Research Scientist,Trade Secret,,,2026-01-09 07:56:00
,,Clinical Support,,Research,,,RS-017,login,,,Emily Ortiz,Boston,,,Research Scientist,Trade Secret,,,2026-01-09 07:56:00
,,Biomarker Discovery,,Research,,,RS-028,login,,,Leslie Anderson,Boston,,,Research Scientist,Trade Secret,,,2026-01-09 07:56:00
,,Analytical Chemistry,,Research,,,RS-058,login,,,Cynthia Kennedy,Boston,,,Research Scientist,Trade Secret,,,2026-01-09 07:56:00
,,Clinical Support,,Research,,,RS-061,login,,,Laura Lucas,Boston,,,Research Scientist,Trade Secret,,,2026-01-09 07:56:00
,,HELIX,,Research,,,RS-121,login,,,Doris Phillips,Boston,,,Research Scientist,Trade Secret,,,2026-01-09 07:56:00
,,Laboratory Operations,,Research,,,LT-037,login,,,Aaron Patterson,Tucson,,,Laboratory Technician,Restricted,,,2026-01-09 07:56:00
,,HELIX,,Regulatory Affairs,,,RA-029,login,,,Jeffrey Weiss,Tucson,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 07:56:00
,,Quality Compliance,,Regulatory Affairs,,,RA-031,login,,,Kimberly Bautista,Tucson,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 07:56:00
,,Payroll,,Finance,,,FA-025,login,,,Melissa Jennings,Boston,,,Finance Analyst,Confidential,,,2026-01-09 07:56:00
,,Recruiting,,Human Resources,,,HR-004,login,,,Lisa Stevens,Boston,,,Human Resources Specialist,Restricted,,,2026-01-09 07:56:00
,,Clinical Support,,Research,,,RS-097,login,,,Carl Mendez,Boston,,,Research Scientist,Trade Secret,,,2026-01-09 07:57:00
,,Analytical Chemistry,,Research,,,RS-099,login,,,Barbara Orr,Tucson,,,Research Scientist,Trade Secret,,,2026-01-09 07:57:00
,,HELIX,,Research,,,LT-040,login,,,Marcus Tucker,Tucson,,,Laboratory Technician,Restricted,,,2026-01-09 07:57:00
,,Quality Compliance,,Regulatory Affairs,,,RA-019,login,,,Larry Wilcox,Tucson,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 07:57:00
,,Quality Compliance,,Regulatory Affairs,,,RA-024,login,,,Kathleen Hill,Tucson,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 07:57:00
,,Payroll,,Finance,,,FA-008,login,,,Joanna Powell,Boston,,,Finance Analyst,Confidential,,,2026-01-09 07:57:00
,,Recruiting,,Human Resources,,,HR-022,login,,,Gregory Guerrero,Boston,,,Human Resources Specialist,Restricted,,,2026-01-09 07:57:00
,,Biomarker Discovery,,Research,,,RS-029,login,,,John Mcdonald,Boston,,,Research Scientist,Trade Secret,,,2026-01-09 07:58:00
,,Analytical Chemistry,,Research,,,RS-041,login,,,George Knight,Tucson,,,Research Scientist,Trade Secret,,,2026-01-09 07:58:00
,,Biomarker Discovery,,Research,,,RS-051,login,,,Nicholas Reilly,Boston,,,Research Scientist,Trade Secret,,,2026-01-09 07:58:00
,,Sample Processing,,Research,,,LT-018,login,,,Jessica Hanson,Tucson,,,Laboratory Technician,Restricted,,,2026-01-09 07:58:00
,,Sample Processing,,Research,,,LT-021,login,,,Bryan Murphy,Tucson,,,Laboratory Technician,Restricted,,,2026-01-09 07:58:00
,,Budget Planning,,Finance,,,FA-022,login,,,Joseph Morgan,Boston,,,Finance Analyst,Confidential,,,2026-01-09 07:58:00
,,Procurement,,Finance,,,FA-032,login,,,Megan Cox,Boston,,,Finance Analyst,Confidential,,,2026-01-09 07:58:00
,,Biomarker Discovery,,Research,,,RS-047,login,,,Jamie Brooks,Boston,,,Research Scientist,Trade Secret,,,2026-01-09 07:59:00
,,Analytical Chemistry,,Research,,,RS-053,login,,,Jason Robinson,Boston,,,Research Scientist,Trade Secret,,,2026-01-09 07:59:00
,,Biomarker Discovery,,Research,,,RS-123,login,,,Maria Mendez,Boston,,,Research Scientist,Trade Secret,,,2026-01-09 07:59:00
,,Laboratory Operations,,Research,,,LT-010,login,,,Chelsea Miller,Boston,,,Laboratory Technician,Restricted,,,2026-01-09 07:59:00
,,Quality Compliance,,Regulatory Affairs,,,RA-012,login,,,Monica Howard,Tucson,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 07:59:00
,,Procurement,,Finance,,,FA-005,login,,,Richard Martinez,Tucson,,,Finance Analyst,Confidential,,,2026-01-09 07:59:00
,,Budget Planning,,Finance,,,FA-015,login,,,Nicole Delacruz,Tucson,,,Finance Analyst,Confidential,,,2026-01-09 07:59:00
,,Infrastructure,,Information Technology,,,IT-008,login,,,Mark Davis,Boston,,,IT Security Administrator,Trade Secret,,,2026-01-09 07:59:00
,,HELIX,,Research,,,RS-067,login,,,Christina Hester,Boston,,,Research Scientist,Trade Secret,,,2026-01-09 08:00:00
,,Clinical Support,,Research,,,RS-094,login,,,Randy House,Tucson,,,Research Scientist,Trade Secret,,,2026-01-09 08:00:00
,,HELIX,,Research,,,RS-120,login,,,Thomas Perez,Boston,,,Research Scientist,Trade Secret,,,2026-01-09 08:00:00
,,Clinical Support,,Research,,,RS-132,login,,,Jeanette Ibarra,Boston,,,Research Scientist,Trade Secret,,,2026-01-09 08:00:00
,,Sample Processing,,Research,,,LT-008,login,,,Amy Baker,Boston,,,Laboratory Technician,Restricted,,,2026-01-09 08:00:00
,,HELIX,,Regulatory Affairs,,,RA-004,login,,,Peggy Jordan,Boston,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 08:00:00
,,Quality Compliance,,Regulatory Affairs,,,RA-025,login,,,Gail Garcia,Boston,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 08:00:00
,,Infrastructure,,Information Technology,,,IT-031,login,,,Rachael Bullock,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-09 08:00:00
,,Biomarker Discovery,,Research,,,RS-026,login,,,Julie Patton,Tucson,,,Research Scientist,Trade Secret,,,2026-01-09 08:01:00
,,Recruiting,,Human Resources,,,HR-023,login,,,Louis Crawford,Tucson,,,Human Resources Specialist,Restricted,,,2026-01-09 08:01:00
,,Clinical Support,,Research,,,RS-022,login,,,Timothy James,Boston,,,Research Scientist,Trade Secret,,,2026-01-09 08:02:00
,,Analytical Chemistry,,Research,,,RS-110,login,,,Diane Brown,Boston,,,Research Scientist,Trade Secret,,,2026-01-09 08:02:00
,,HELIX,,Research,,,RS-136,login,,,Steven Roth,Tucson,,,Research Scientist,Trade Secret,,,2026-01-09 08:02:00
,,Quality Compliance,,Regulatory Affairs,,,RA-021,login,,,Angela Ramirez,Tucson,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 08:02:00
,,Identity Modernization,,Information Technology,,,IT-030,login,,,Rachel Huerta,Boston,,,IT Security Administrator,Trade Secret,,,2026-01-09 08:02:00
,,Biomarker Discovery,,Research,,,RS-001,login,,,Susan Young,Boston,,,Research Scientist,Trade Secret,,,2026-01-09 08:03:00
,,Analytical Chemistry,,Research,,,RS-042,login,,,Brittany Brown,Boston,,,Research Scientist,Trade Secret,,,2026-01-09 08:03:00
,,Analytical Chemistry,,Research,,,RS-049,login,,,Jorge Stephens,Boston,,,Research Scientist,Trade Secret,,,2026-01-09 08:03:00
,,Clinical Support,,Research,,,RS-054,login,,,Chelsea Vega,Tucson,,,Research Scientist,Trade Secret,,,2026-01-09 08:03:00
,,Clinical Support,,Research,,,RS-140,login,,,Miguel Bowers,Tucson,,,Research Scientist,Trade Secret,,,2026-01-09 08:03:00
,,HELIX,,Regulatory Affairs,,,RA-015,login,,,Richard Johns,Tucson,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 08:03:00
,,Learning & Development,,Human Resources,,,HR-003,login,,,Cody Carlson,Tucson,,,Human Resources Specialist,Restricted,,,2026-01-09 08:03:00
,,Benefits,,Human Resources,,,HR-021,login,,,Robert Harris,Tucson,,,Human Resources Specialist,Restricted,,,2026-01-09 08:03:00
,,Research Portfolio,,Executive Leadership,,,EX-002,login,,,James Johnson,Boston,,,Executive Leadership,Trade Secret,,,2026-01-09 08:03:00
,,Analytical Chemistry,,Research,,,RS-006,login,,,Jennifer Lewis,Tucson,,,Research Scientist,Trade Secret,,,2026-01-09 08:04:00
,,Analytical Chemistry,,Research,,,RS-103,login,,,Timothy Huynh,Boston,,,Research Scientist,Trade Secret,,,2026-01-09 08:04:00
,,HELIX,,Regulatory Affairs,,,RA-014,login,,,Tyrone Miller,Tucson,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 08:04:00
,,HELIX,,Regulatory Affairs,,,RA-018,login,,,Robert Stokes,Boston,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 08:04:00
,,Quality Compliance,,Regulatory Affairs,,,RA-039,login,,,Brittany Stevenson,Tucson,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 08:04:00
,,HELIX,,Research,,,RS-102,login,,,Desiree Jackson,Tucson,,,Research Scientist,Trade Secret,,,2026-01-09 08:05:00
,,Biomarker Discovery,,Research,,,RS-124,login,,,Kayla Knapp,Tucson,,,Research Scientist,Trade Secret,,,2026-01-09 08:05:00
,,HELIX,,Regulatory Affairs,,,RA-016,login,,,Mathew Patel,Boston,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 08:05:00
,,Benefits,,Human Resources,,,HR-005,login,,,Felicia Fisher,Tucson,,,Human Resources Specialist,Restricted,,,2026-01-09 08:05:00
,,Analytical Chemistry,,Research,,,RS-038,login,,,Elizabeth Hall,Tucson,,,Research Scientist,Trade Secret,,,2026-01-09 08:06:00
,,HELIX,,Research,,,RS-095,login,,,Melinda Payne,Tucson,,,Research Scientist,Trade Secret,,,2026-01-09 08:06:00
,,Clinical Support,,Research,,,RS-119,login,,,Michael Gomez,Boston,,,Research Scientist,Trade Secret,,,2026-01-09 08:06:00
,,Quality Compliance,,Regulatory Affairs,,,RA-017,login,,,Michael Gutierrez,Boston,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 08:06:00
,,HELIX,,Regulatory Affairs,,,RA-027,login,,,Jeffrey Ellison,Tucson,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 08:06:00
,,Clinical Support,,Research,,,RS-036,login,,,Travis Bradley,Tucson,,,Research Scientist,Trade Secret,,,2026-01-09 08:07:00
,,Analytical Chemistry,,Research,,,RS-075,login,,,Paula Schwartz,Boston,,,Research Scientist,Trade Secret,,,2026-01-09 08:07:00
,,Biomarker Discovery,,Research,,,RS-084,login,,,Robert Wilson,Tucson,,,Research Scientist,Trade Secret,,,2026-01-09 08:07:00
,,Recruiting,,Human Resources,,,HR-001,login,,,Michael Wilson,Tucson,,,Human Resources Specialist,Restricted,,,2026-01-09 08:07:00
,,HELIX,,Research,,,RS-027,login,,,Michelle Munoz,Boston,,,Research Scientist,Trade Secret,,,2026-01-09 08:08:00
,,Clinical Support,,Research,,,RS-045,login,,,Thomas Butler,Boston,,,Research Scientist,Trade Secret,,,2026-01-09 08:08:00
,,HELIX,,Research,,,RS-116,login,,,Renee Hudson,Boston,,,Research Scientist,Trade Secret,,,2026-01-09 08:08:00
,,HELIX,,Regulatory Affairs,,,RA-026,login,,,Dale Vaughn,Boston,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 08:08:00
,,FDA Submission,,Regulatory Affairs,,,RA-034,login,,,Nicholas Mcbride,Boston,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 08:08:00
,,FDA Submission,,Regulatory Affairs,,,RA-040,login,,,Kristen Oneal,Boston,,,Regulatory Affairs Specialist,Restricted,,,2026-01-09 08:08:00
,,Benefits,,Human Resources,,,HR-013,login,,,Alexa Sanders,Tucson,,,Human Resources Specialist,Restricted,,,2026-01-09 08:08:00
,,HELIX,,Research,,,RS-014,login,,,Tammy Castaneda,Boston,,,Research Scientist,Trade Secret,,,2026-01-09 08:09:00
,,Clinical Support,,Research,,,RS-030,login,,,Lisa Mason,Boston,,,Research Scientist,Trade Secret,,,2026-01-09 08:09:00
