employee_id,first_name,last_name,role,department,office,years_with_company,assigned_project,security_clearance
RS-060,Rebecca,Johnson,Research Scientist,Research,Tucson,24,Analytical Chemistry,Trade Secret
RS-061,Laura,Lucas,Research Scientist,Research,Boston,18,Clinical Support,Trade Secret
RS-062,Christian,Curry,Research Scientist,Research,Boston,14,HELIX,Trade Secret
RS-063,Anthony,May,Research Scientist,Research,Tucson,1,HELIX,Trade Secret
RS-064,Ricky,Moore,Research Scientist,Research,Tucson,7,Analytical Chemistry,Trade Secret
RS-065,Carol,Brooks,Research Scientist,Research,Tucson,2,Clinical Support,Trade Secret
RS-066,Rachael,Hayes,Research Scientist,Research,Tucson,18,HELIX,Trade Secret
RS-067,Christina,Hester,Research Scientist,Research,Boston,1,HELIX,Trade Secret
RS-068,Joshua,Wheeler,Research Scientist,Research,Boston,5,Biomarker Discovery,Trade Secret
RS-069,Karen,Mooney,Research Scientist,Research,Boston,13,Clinical Support,Trade Secret
RS-070,Melanie,Williams,Research Scientist,Research,Boston,17,HELIX,Trade Secret
RS-071,Justin,Lambert,Research Scientist,Research,Boston,7,HELIX,Trade Secret
RS-072,Guy,Berg,Research Scientist,Research,Tucson,18,Analytical Chemistry,Trade Secret
RS-073,Victoria,Wallace,Research Scientist,Research,Tucson,11,HELIX,Trade Secret
RS-074,Sandy,Cook,Research Scientist,Research,Boston,5,Analytical Chemistry,Trade Secret
RS-075,Paula,Schwartz,Research Scientist,Research,Boston,7,Analytical Chemistry,Trade Secret
RS-076,Tracy,Alvarez,Research Scientist,Research,Boston,4,Biomarker Discovery,Trade Secret
RS-077,Maria,Hopkins,Research Scientist,Research,Tucson,16,Analytical Chemistry,Trade Secret
RS-078,Christina,Lee,Research Scientist,Research,Boston,24,Biomarker Discovery,Trade Secret
RS-079,Anthony,Mooney,Research Scientist,Research,Tucson,12,Biomarker Discovery,Trade Secret
RS-080,Scott,Figueroa,Research Scientist,Research,Tucson,11,Clinical Support,Trade Secret
RS-081,James,Davis,Research Scientist,Research,Tucson,16,HELIX,Trade Secret
RS-082,Jermaine,Ramirez,Research Scientist,Research,Boston,4,HELIX,Trade Secret
RS-083,Brandy,Armstrong,Research Scientist,Research,Tucson,24,HELIX,Trade Secret
RS-084,Robert,Wilson,Research Scientist,Research,Tucson,8,Biomarker Discovery,Trade Secret
RS-085,Antonio,Guerra,Research Scientist,Research,Tucson,19,Clinical Support,Trade Secret
RS-086,Marie,Wright,Research Scientist,Research,Boston,3,Analytical Chemistry,Trade Secret
RS-087,Donna,Allen,Research Scientist,Research,Boston,12,Biomarker Discovery,Trade Secret
RS-088,Spencer,Aguilar,Research Scientist,Research,Boston,21,Analytical Chemistry,Trade Secret
RS-089,Sandra,Ramos,Research Scientist,Research,Boston,12,Clinical Support,Trade Secret
RS-090,Brianna,Davis,Research Scientist,Research,Boston,4,HELIX,Trade Secret
RS-091,Amy,Thompson,Research Scientist,Research,Boston,1,Analytical Chemistry,Trade Secret
RS-092,Johnny,Santana,Research Scientist,Research,Boston,22,Biomarker Discovery,Trade Secret
RS-093,Tamara,Mcgee,Research Scientist,Research,Boston,8,Analytical Chemistry,Trade Secret
RS-094,Randy,House,Research Scientist,Research,Tucson,19,Clinical Support,Trade Secret
RS-095,Melinda,Payne,Research Scientist,Research,Tucson,25,HELIX,Trade Secret
RS-096,Luke,Young,Research Scientist,Research,Boston,22,Clinical Support,Trade Secret
RS-097,Carl,Mendez,Research Scientist,Research,Boston,16,Clinical Support,Trade Secret
RS-098,Janet,Rodriguez,Research Scientist,Research,Tucson,23,Biomarker Discovery,Trade Secret
RS-099,Barbara,Orr,Research Scientist,Research,Tucson,15,Analytical Chemistry,Trade Secret
RS-100,Barbara,Barnett,Research Scientist,Research,Boston,24,HELIX,Trade Secret
RS-101,Amber,Gomez,Research Scientist,Research,Tucson,12,Clinical Support,Trade Secret
RS-102,Desiree,Jackson,Research Scientist,Research,Tucson,21,HELIX,Trade Secret
RS-103,Timothy,Huynh,Research Scientist,Research,Boston,13,Analytical Chemistry,Trade Secret
RS-104,Cindy,Odonnell,Research Scientist,Research,Tucson,17,HELIX,Trade Secret
RS-105,David,Mason,Research Scientist,Research,Tucson,19,Clinical Support,Trade Secret
RS-106,Dana,Parker,Research Scientist,Research,Tucson,4,Clinical Support,Trade Secret
RS-107,Katie,Hooper,Research Scientist,Research,Tucson,8,HELIX,Trade Secret
RS-108,Joe,Powell,Research Scientist,Research,Boston,19,HELIX,Trade Secret
RS-109,Margaret,Marsh,Research Scientist,Research,Boston,10,Biomarker Discovery,Trade Secret
RS-110,Diane,Brown,Research Scientist,Research,Boston,7,Analytical Chemistry,Trade Secret
RS-111,Michael,Bryant,Research Scientist,Research,Boston,19,Biomarker Discovery,Trade Secret
RS-112,Tracie,Smith,Research Scientist,Research,Tucson,3,Biomarker Discovery,Trade Secret
RS-113,Jordan,Williams,Research Scientist,Research,Tucson,17,Analytical Chemistry,Trade Secret
RS-114,Ashley,Maxwell,Research Scientist,Research,Boston,13,Clinical Support,Trade Secret
RS-115,Julie,Townsend,Research Scientist,Research,Tucson,3,Analytical Chemistry,Trade Secret
RS-116,Renee,Hudson,Research Scientist,Research,Boston,4,HELIX,Trade Secret
RS-117,Jamie,Ochoa,Research Scientist,Research,Boston,10,Analytical Chemistry,Trade Secret
RS-118,Jamie,Bennett,Research Scientist,Research,Tucson,15,HELIX,Trade Secret
RS-119,Michael,Gomez,Research Scientist,Research,Boston,15,Clinical Support,Trade Secret
RS-120,Thomas,Perez,Research Scientist,Research,Boston,25,HELIX,Trade Secret
RS-121,Doris,Phillips,Research Scientist,Research,Boston,13,HELIX,Trade Secret
RS-122,Sarah,Owens,Research Scientist,Research,Tucson,23,Analytical Chemistry,Trade Secret
RS-123,Maria,Mendez,Research Scientist,Research,Boston,4,Biomarker Discovery,Trade Secret
RS-124,Kayla,Knapp,Research Scientist,Research,Tucson,15,Biomarker Discovery,Trade Secret
RS-125,Elizabeth,Hampton,Research Scientist,Research,Tucson,15,HELIX,Trade Secret
RS-126,Kayla,Brown,Research Scientist,Research,Tucson,9,Clinical Support,Trade Secret
RS-127,Robin,Wise,Research Scientist,Research,Tucson,17,Clinical Support,Trade Secret
RS-128,Katrina,Murray,Research Scientist,Research,Boston,18,Analytical Chemistry,Trade Secret
RS-129,Deborah,Bradley,Research Scientist,Research,Boston,15,HELIX,Trade Secret
RS-130,Joseph,Wood,Research Scientist,Research,Boston,0,HELIX,Trade Secret
RS-131,Adam,Montgomery,Research Scientist,Research,Boston,14,Analytical Chemistry,Trade Secret
RS-132,Jeanette,Ibarra,Research Scientist,Research,Boston,7,Clinical Support,Trade Secret
RS-133,Melissa,French,Research Scientist,Research,Boston,20,Biomarker Discovery,Trade Secret
RS-134,Stephen,Duffy,Research Scientist,Research,Boston,20,Biomarker Discovery,Trade Secret
RS-135,Zachary,Obrien,Research Scientist,Research,Boston,0,Biomarker Discovery,Trade Secret
RS-136,Steven,Roth,Research Scientist,Research,Tucson,6,HELIX,Trade Secret
RS-137,Alexandria,Bishop,Research Scientist,Research,Tucson,8,Analytical Chemistry,Trade Secret
RS-138,Austin,Lopez,Research Scientist,Research,Boston,6,Clinical Support,Trade Secret
RS-139,Timothy,Rivas,Research Scientist,Research,Boston,3,Biomarker Discovery,Trade Secret
RS-140,Miguel,Bowers,Research Scientist,Research,Tucson,17,Clinical Support,Trade Secret
LT-001,Charles,Snyder,Laboratory Technician,Research,Boston,24,Sample Processing,Restricted
LT-002,Doris,Singh,Laboratory Technician,Research,Boston,11,Sample Processing,Restricted
LT-003,Mary,Blackburn,Laboratory Technician,Research,Boston,14,HELIX,Restricted
LT-004,Madeline,Valentine,Laboratory Technician,Research,Tucson,20,Sample Processing,Restricted
LT-005,Christopher,Smith,Laboratory Technician,Research,Boston,1,Laboratory Operations,Restricted
LT-006,Catherine,Patterson,Laboratory Technician,Research,Boston,12,Sample Processing,Restricted
LT-007,David,Carroll,Laboratory Technician,Research,Boston,2,HELIX,Restricted
LT-008,Amy,Baker,Laboratory Technician,Research,Boston,11,Sample Processing,Restricted
LT-009,Lisa,Pena,Laboratory Technician,Research,Boston,11,Sample Processing,Restricted
LT-010,Chelsea,Miller,Laboratory Technician,Research,Boston,18,Laboratory Operations,Restricted
LT-011,Leslie,Mejia,Laboratory Technician,Research,Tucson,13,Laboratory Operations,Restricted
LT-012,Ashley,Martin,Laboratory Technician,Research,Boston,25,Laboratory Operations,Restricted
LT-013,Jill,Hall,Laboratory Technician,Research,Tucson,8,Sample Processing,Restricted
LT-014,Nicole,Bailey,Laboratory Technician,Research,Tucson,24,HELIX,Restricted
LT-015,Jacob,Martinez,Laboratory Technician,Research,Tucson,24,Laboratory Operations,Restricted
LT-016,Elizabeth,Anderson,Laboratory Technician,Research,Boston,5,Sample Processing,Restricted
LT-017,Amanda,Ward,Laboratory Technician,Research,Tucson,6,HELIX,Restricted
LT-018,Jessica,Hanson,Laboratory Technician,Research,Tucson,22,Sample Processing,Restricted
LT-019,James,Galloway,Laboratory Technician,Research,Tucson,22,HELIX,Restricted
LT-020,Matthew,Coleman,Laboratory Technician,Research,Boston,17,Laboratory Operations,Restricted
LT-021,Bryan,Murphy,Laboratory Technician,Research,Tucson,15,Sample Processing,Restricted
LT-022,Antonio,Summers,Laboratory Technician,Research,Tucson,7,Laboratory Operations,Restricted
LT-023,Stephanie,Miller,Laboratory Technician,Research,Tucson,10,HELIX,Restricted
LT-024,Sharon,Henry,Laboratory Technician,Research,Tucson,4,Laboratory Operations,Restricted
LT-025,Lauren,Oconnell,Laboratory Technician,Research,Boston,25,HELIX,Restricted
LT-026,Robin,Wood,Laboratory Technician,Research,Tucson,4,Sample Processing,Restricted
LT-027,Tina,Conley,Laboratory Technician,Research,Tucson,12,Laboratory Operations,Restricted
LT-028,Rebecca,Zavala,Laboratory Technician,Research,Tucson,19,Sample Processing,Restricted
LT-029,Paul,Johnson,Laboratory Technician,Research,Boston,5,HELIX,Restricted
LT-030,Christopher,Flores,Laboratory Technician,Research,Boston,24,Laboratory Operations,Restricted
LT-031,Dylan,Martin,Laboratory Technician,Research,Boston,25,Laboratory Operations,Restricted
LT-032,Teresa,Calderon,Laboratory Technician,Research,Boston,24,Sample Processing,Restricted
LT-033,Christine,Rice,Laboratory Technician,Research,Boston,3,Sample Processing,Restricted
LT-034,Judy,Cooke,Laboratory Technician,Research,Tucson,22,HELIX,Restricted
LT-035,Toni,Santos,Laboratory Technician,Research,Boston,4,HELIX,Restricted
LT-036,Tyler,Garza,Laboratory Technician,Research,Tucson,12,Sample Processing,Restricted
LT-037,Aaron,Patterson,Laboratory Technician,Research,Tucson,13,Laboratory Operations,Restricted
LT-038,Brett,Gardner,Laboratory Technician,Research,Boston,7,Laboratory Operations,Restricted
LT-039,Kirsten,Collins,Laboratory Technician,Research,Boston,8,HELIX,Restricted
LT-040,Marcus,Tucker,Laboratory Technician,Research,Tucson,3,HELIX,Restricted
LT-041,Michael,Johnson,Laboratory Technician,Research,Boston,5,Laboratory Operations,Restricted
LT-042,Paul,Campos,Laboratory Technician,Research,Tucson,18,HELIX,Restricted
LT-043,Logan,Sanchez,Laboratory Technician,Research,Tucson,14,Sample Processing,Restricted
LT-044,Scott,Buck,Laboratory Technician,Research,Tucson,8,HELIX,Restricted
LT-045,John,Santos,Laboratory Technician,Research,Boston,1,Sample Processing,Restricted
RA-001,Ryan,Anderson,Regulatory Affairs Specialist,Regulatory Affairs,Boston,17,FDA Submission,Restricted
RA-002,James,Jones,Regulatory Affairs Specialist,Regulatory Affairs,Boston,16,Quality Compliance,Restricted
RA-003,Johnathan,Marshall,Regulatory Affairs Specialist,Regulatory Affairs,Boston,6,HELIX,Restricted
RA-004,Peggy,Jordan,Regulatory Affairs Specialist,Regulatory Affairs,Boston,2,HELIX,Restricted
RA-005,Tracy,Anderson,Regulatory Affairs Specialist,Regulatory Affairs,Boston,8,HELIX,Restricted
RA-006,Howard,Conway,Regulatory Affairs Specialist,Regulatory Affairs,Tucson,6,Quality Compliance,Restricted
RA-007,Roger,Frederick,Regulatory Affairs Specialist,Regulatory Affairs,Boston,6,FDA Submission,Restricted
RA-008,Donna,Bell,Regulatory Affairs Specialist,Regulatory Affairs,Tucson,9,HELIX,Restricted
RA-009,Valerie,Cole,Regulatory Affairs Specialist,Regulatory Affairs,Tucson,11,Quality Compliance,Restricted
RA-010,Jeffrey,Briggs,Regulatory Affairs Specialist,Regulatory Affairs,Tucson,0,FDA Submission,Restricted
RA-011,Crystal,Griffin,Regulatory Affairs Specialist,Regulatory Affairs,Boston,0,HELIX,Restricted
RA-012,Monica,Howard,Regulatory Affairs Specialist,Regulatory Affairs,Tucson,13,Quality Compliance,Restricted
RA-013,William,Powell,Regulatory Affairs Specialist,Regulatory Affairs,Boston,25,HELIX,Restricted
RA-014,Tyrone,Miller,Regulatory Affairs Specialist,Regulatory Affairs,Tucson,8,HELIX,Restricted
RA-015,Richard,Johns,Regulatory Affairs Specialist,Regulatory Affairs,Tucson,19,HELIX,Restricted
RA-016,Mathew,Patel,Regulatory Affairs Specialist,Regulatory Affairs,Boston,14,HELIX,Restricted
RA-017,Michael,Gutierrez,Regulatory Affairs Specialist,Regulatory Affairs,Boston,1,Quality Compliance,Restricted
RA-018,Robert,Stokes,Regulatory Affairs Specialist,Regulatory Affairs,Boston,14,HELIX,Restricted
RA-019,Larry,Wilcox,Regulatory Affairs Specialist,Regulatory Affairs,Tucson,3,Quality Compliance,Restricted
RA-020,Krista,Hurst,Regulatory Affairs Specialist,Regulatory Affairs,Boston,8,Quality Compliance,Restricted
RA-021,Angela,Ramirez,Regulatory Affairs Specialist,Regulatory Affairs,Tucson,8,Quality Compliance,Restricted
RA-022,Elizabeth,Potter,Regulatory Affairs Specialist,Regulatory Affairs,Boston,12,FDA Submission,Restricted
RA-023,Michelle,Paul,Regulatory Affairs Specialist,Regulatory Affairs,Tucson,4,FDA Submission,Restricted
RA-024,Kathleen,Hill,Regulatory Affairs Specialist,Regulatory Affairs,Tucson,1,Quality Compliance,Restricted
RA-025,Gail,Garcia,Regulatory Affairs Specialist,Regulatory Affairs,Boston,15,Quality Compliance,Restricted
RA-026,Dale,Vaughn,Regulatory Affairs Specialist,Regulatory Affairs,Boston,24,HELIX,Restricted
RA-027,Jeffrey,Ellison,Regulatory Affairs Specialist,Regulatory Affairs,Tucson,22,HELIX,Restricted
RA-028,Andrew,Payne,Regulatory Affairs Specialist,Regulatory Affairs,Tucson,13,Quality Compliance,Restricted
RA-029,Jeffrey,Weiss,Regulatory Affairs Specialist,Regulatory Affairs,Tucson,9,HELIX,Restricted
RA-030,Rachel,Williams,Regulatory Affairs Specialist,Regulatory Affairs,Boston,12,FDA Submission,Restricted
RA-031,Kimberly,Bautista,Regulatory Affairs Specialist,Regulatory Affairs,Tucson,5,Quality Compliance,Restricted
RA-032,Donald,Perez,Regulatory Affairs Specialist,Regulatory Affairs,Boston,4,Quality Compliance,Restricted
RA-033,Nicole,Taylor,Regulatory Affairs Specialist,Regulatory Affairs,Boston,0,Quality Compliance,Restricted
RA-034,Nicholas,Mcbride,Regulatory Affairs Specialist,Regulatory Affairs,Boston,16,FDA Submission,Restricted
RA-035,Donald,Tapia,Regulatory Affairs Specialist,Regulatory Affairs,Tucson,15,HELIX,Restricted
RA-036,Christopher,Cruz,Regulatory Affairs Specialist,Regulatory Affairs,Tucson,1,Quality Compliance,Restricted
RA-037,Ryan,Perez,Regulatory Affairs Specialist,Regulatory Affairs,Tucson,14,HELIX,Restricted
RA-038,Erin,Mcintyre,Regulatory Affairs Specialist,Regulatory Affairs,Tucson,2,FDA Submission,Restricted
RA-039,Brittany,Stevenson,Regulatory Affairs Specialist,Regulatory Affairs,Tucson,2,Quality Compliance,Restricted
RA-040,Kristen,Oneal,Regulatory Affairs Specialist,Regulatory Affairs,Boston,18,FDA Submission,Restricted
FA-001,Lori,Gibson,Finance Analyst,Finance,Tucson,25,Payroll,Confidential
FA-002,Paul,Dixon,Finance Analyst,Finance,Tucson,15,Payroll,Confidential
FA-003,Kimberly,Kramer,Finance Analyst,Finance,Boston,6,Budget Planning,Confidential
FA-004,Ryan,Stuart,Finance Analyst,Finance,Boston,22,Payroll,Confidential
FA-005,Richard,Martinez,Finance Analyst,Finance,Tucson,18,Procurement,Confidential
FA-006,Bryan,Jones,Finance Analyst,Finance,Tucson,11,Procurement,Confidential
FA-007,Jonathan,Anderson,Finance Analyst,Finance,Boston,14,Payroll,Confidential
FA-008,Joanna,Powell,Finance Analyst,Finance,Boston,20,Payroll,Confidential
FA-009,Debra,Fisher,Finance Analyst,Finance,Tucson,1,Payroll,Confidential
FA-010,Joseph,Beasley,Finance Analyst,Finance,Tucson,8,Procurement,Confidential
FA-011,Michael,Rodriguez,Finance Analyst,Finance,Tucson,2,Budget Planning,Confidential
FA-012,Cory,Hammond,Finance Analyst,Finance,Tucson,5,Procurement,Confidential
FA-013,Gerald,Liu,Finance Analyst,Finance,Boston,0,Budget Planning,Confidential
FA-014,Andrew,White,Finance Analyst,Finance,Tucson,11,Payroll,Confidential
FA-015,Nicole,Delacruz,Finance Analyst,Finance,Tucson,24,Budget Planning,Confidential
FA-016,Jacqueline,Baker,Finance Analyst,Finance,Boston,16,Procurement,Confidential
FA-017,James,Gibbs,Finance Analyst,Finance,Tucson,6,Payroll,Confidential
FA-018,Jessica,Haynes,Finance Analyst,Finance,Boston,14,Budget Planning,Confidential
FA-019,Brenda,Park,Finance Analyst,Finance,Tucson,18,Budget Planning,Confidential
FA-020,Carol,King,Finance Analyst,Finance,Boston,12,Budget Planning,Confidential
FA-021,Mary,Velasquez,Finance Analyst,Finance,Tucson,3,Payroll,Confidential
FA-022,Joseph,Morgan,Finance Analyst,Finance,Boston,10,Budget Planning,Confidential
FA-023,Zachary,Becker,Finance Analyst,Finance,Tucson,6,Budget Planning,Confidential
FA-024,Steven,Walton,Finance Analyst,Finance,Boston,21,Procurement,Confidential
FA-025,Melissa,Jennings,Finance Analyst,Finance,Boston,11,Payroll,Confidential
FA-026,Tammy,Lopez,Finance Analyst,Finance,Boston,3,Budget Planning,Confidential
FA-027,Joseph,Lee,Finance Analyst,Finance,Boston,17,Budget Planning,Confidential
FA-028,Jamie,Cannon,Finance Analyst,Finance,Tucson,8,Budget Planning,Confidential
FA-029,Maria,Robinson,Finance Analyst,Finance,Tucson,3,Procurement,Confidential
FA-030,Molly,Moore,Finance Analyst,Finance,Tucson,6,Procurement,Confidential
FA-031,Larry,Bender,Finance Analyst,Finance,Tucson,0,Payroll,Confidential
FA-032,Megan,Cox,Finance Analyst,Finance,Boston,25,Procurement,Confidential
FA-033,Carl,Johnson,Finance Analyst,Finance,Boston,7,Budget Planning,Confidential
FA-034,Steven,Stevens,Finance Analyst,Finance,Boston,13,Procurement,Confidential
FA-035,Christopher,Patterson,Finance Analyst,Finance,Tucson,6,Payroll,Confidential
HR-001,Michael,Wilson,Human Resources Specialist,Human Resources,Tucson,6,Recruiting,Restricted
HR-002,Susan,Carrillo,Human Resources Specialist,Human Resources,Tucson,17,Recruiting,Restricted
HR-003,Cody,Carlson,Human Resources Specialist,Human Resources,Tucson,16,Learning & Development,Restricted
HR-004,Lisa,Stevens,Human Resources Specialist,Human Resources,Boston,1,Recruiting,Restricted
HR-005,Felicia,Fisher,Human Resources Specialist,Human Resources,Tucson,0,Benefits,Restricted
HR-006,Bruce,Hurley,Human Resources Specialist,Human Resources,Boston,20,Recruiting,Restricted
HR-007,Holly,Johns,Human Resources Specialist,Human Resources,Tucson,14,Learning & Development,Restricted
HR-008,Laura,Middleton,Human Resources Specialist,Human Resources,Boston,11,Recruiting,Restricted
HR-009,Sharon,Wilson,Human Resources Specialist,Human Resources,Boston,12,Learning & Development,Restricted
HR-010,Julia,Solomon,Human Resources Specialist,Human Resources,Boston,18,Learning & Development,Restricted
HR-011,Carrie,Rodriguez,Human Resources Specialist,Human Resources,Tucson,1,Benefits,Restricted
HR-012,Angela,Vazquez,Human Resources Specialist,Human Resources,Boston,25,Learning & Development,Restricted
HR-013,Alexa,Sanders,Human Resources Specialist,Human Resources,Tucson,11,Benefits,Restricted
HR-014,Tina,Lewis,Human Resources Specialist,Human Resources,Boston,4,Recruiting,Restricted
HR-015,Nicholas,Valenzuela,Human Resources Specialist,Human Resources,Tucson,7,Recruiting,Restricted
HR-016,William,Simmons,Human Resources Specialist,Human Resources,Tucson,23,Recruiting,Restricted
HR-017,Nicole,Calderon,Human Resources Specialist,Human Resources,Boston,10,Benefits,Restricted
HR-018,Karen,Campos,Human Resources Specialist,Human Resources,Tucson,18,Benefits,Restricted
HR-019,Jeremiah,Horton,Human Resources Specialist,Human Resources,Tucson,6,Benefits,Restricted
HR-020,Kendra,Weiss,Human Resources Specialist,Human Resources,Boston,5,Learning & Development,Restricted
HR-021,Robert,Harris,Human Resources Specialist,Human Resources,Tucson,3,Benefits,Restricted
HR-022,Gregory,Guerrero,Human Resources Specialist,Human Resources,Boston,2,Recruiting,Restricted
HR-023,Louis,Crawford,Human Resources Specialist,Human Resources,Tucson,21,Recruiting,Restricted
HR-024,Jason,George,Human Resources Specialist,Human Resources,Tucson,24,Learning & Development,Restricted
HR-025,Renee,Martinez,Human Resources Specialist,Human Resources,Boston,25,Recruiting,Restricted
IT-001,Joshua,Blake,IT Security Administrator,Information Technology,Tucson,14,Cloud Migration,Trade Secret
IT-002,Kelly,Chan,IT Security Administrator,Information Technology,Tucson,2,Infrastructure,Trade Secret
IT-003,Marvin,Davis,IT Security Administrator,Information Technology,Tucson,24,Endpoint Security,Trade Secret
IT-004,Edward,Schmitt,IT Security Administrator,Information Technology,Tucson,17,Identity Modernization,Trade Secret
IT-005,Tamara,Pacheco,IT Security Administrator,Information Technology,Tucson,8,Identity Modernization,Trade Secret
IT-006,Donald,Gill,IT Security Administrator,Information Technology,Boston,3,Endpoint Security,Trade Secret
IT-007,Sherry,Jones,IT Security Administrator,Information Technology,Boston,1,Cloud Migration,Trade Secret
IT-008,Mark,Davis,IT Security Administrator,Information Technology,Boston,17,Infrastructure,Trade Secret
IT-009,Nicholas,Stein,IT Security Administrator,Information Technology,Boston,20,Cloud Migration,Trade Secret
IT-010,Brenda,Malone,IT Security Administrator,Information Technology,Boston,15,Cloud Migration,Trade Secret
