action,alert,assigned_project,change,department,device,document,employee_id,event_type,file,instrument,name,office,recipient_department,record,role,security_clearance,status,system,timestamp
,,HELIX,,Research,,,LT-014,login,,,Nicole Bailey,Tucson,,,Laboratory Technician,Restricted,,,2026-01-06 07:40:00
,,Sample Processing,,Research,,,LT-026,login,,,Robin Wood,Tucson,,,Laboratory Technician,Restricted,,,2026-01-06 07:40:00
,,Sample Processing,,Research,,,LT-036,login,,,Tyler Garza,Tucson,,,Laboratory Technician,Restricted,,,2026-01-06 07:40:00
,,Budget Planning,,Finance,,,FA-020,login,,,Carol King,Boston,,,Finance Analyst,Confidential,,,2026-01-06 07:40:00
,,Budget Planning,,Finance,,,FA-033,login,,,Carl Johnson,Boston,,,Finance Analyst,Confidential,,,2026-01-06 07:40:00
,,Payroll,,Finance,,,FA-007,login,,,Jonathan Anderson,Boston,,,Finance Analyst,Confidential,,,2026-01-06 07:41:00
,,Budget Planning,,Finance,,,FA-015,login,,,Nicole Delacruz,Tucson,,,Finance Analyst,Confidential,,,2026-01-06 07:41:00
,,Corporate Strategy,,Executive Leadership,,,EX-008,login,,,John Hall,Tucson,,,Executive Leadership,Trade Secret,,,2026-01-06 07:41:00
,,HELIX,,Research,,,LT-019,login,,,James Galloway,Tucson,,,Laboratory Technician,Restricted,,,2026-01-06 07:42:00
,,Budget Planning,,Finance,,,FA-011,login,,,Michael Rodriguez,Tucson,,,Finance Analyst,Confidential,,,2026-01-06 07:42:00
,,Identity Modernization,,Information Technology,,,IT-035,login,,,Carrie Mays,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-06 07:42:00
,,Laboratory Operations,,Research,,,LT-011,login,,,Leslie Mejia,Tucson,,,Laboratory Technician,Restricted,,,2026-01-06 07:43:00
,,Procurement,,Finance,,,FA-024,login,,,Steven Walton,Boston,,,Finance Analyst,Confidential,,,2026-01-06 07:43:00
,,HELIX,,Research,,,LT-023,login,,,Stephanie Miller,Tucson,,,Laboratory Technician,Restricted,,,2026-01-06 07:45:00
,,HELIX,,Regulatory Affairs,,,RA-003,login,,,Johnathan Marshall,Boston,,,Regulatory Affairs Specialist,Restricted,,,2026-01-06 07:45:00
,,Payroll,,Finance,,,FA-014,login,,,Andrew White,Tucson,,,Finance Analyst,Confidential,,,2026-01-06 07:45:00
,,Payroll,,Finance,,,FA-031,login,,,Larry Bender,Tucson,,,Finance Analyst,Confidential,,,2026-01-06 07:45:00
,,Sample Processing,,Research,,,LT-021,login,,,Bryan Murphy,Tucson,,,Laboratory Technician,Restricted,,,2026-01-06 07:46:00
,,Laboratory Operations,,Research,,,LT-030,login,,,Christopher Flores,Boston,,,Laboratory Technician,Restricted,,,2026-01-06 07:46:00
,,HELIX,,Research,,,LT-034,login,,,Judy Cooke,Tucson,,,Laboratory Technician,Restricted,,,2026-01-06 07:46:00
,,HELIX,,Research,,,LT-035,login,,,Toni Santos,Boston,,,Laboratory Technician,Restricted,,,2026-01-06 07:46:00
,,Budget Planning,,Finance,,,FA-019,login,,,Brenda Park,Tucson,,,Finance Analyst,Confidential,,,2026-01-06 07:46:00
,,Infrastructure,,Information Technology,,,IT-018,login,,,Samantha Jackson,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-06 07:46:00
,,HELIX,,Regulatory Affairs,,,RA-004,login,,,Peggy Jordan,Boston,,,Regulatory Affairs Specialist,Restricted,,,2026-01-06 07:47:00
,,HELIX,,Regulatory Affairs,,,RA-016,login,,,Mathew Patel,Boston,,,Regulatory Affairs Specialist,Restricted,,,2026-01-06 07:47:00
,,Quality Compliance,,Regulatory Affairs,,,RA-017,login,,,Michael Gutierrez,Boston,,,Regulatory Affairs Specialist,Restricted,,,2026-01-06 07:47:00
,,Procurement,,Finance,,,FA-016,login,,,Jacqueline Baker,Boston,,,Finance Analyst,Confidential,,,2026-01-06 07:47:00
,,Infrastructure,,Information Technology,,,IT-008,login,,,Mark Davis,Boston,,,IT Security Administrator,Trade Secret,,,2026-01-06 07:47:00
,,Payroll,,Finance,,,FA-004,login,,,Ryan Stuart,Boston,,,Finance Analyst,Confidential,,,2026-01-06 07:48:00
,,Cloud Migration,,Information Technology,,,IT-001,login,,,Joshua Blake,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-06 07:49:00
,,Identity Modernization,,Information Technology,,,IT-021,login,,,Christopher Thomas,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-06 07:49:00
,,Laboratory Operations,,Research,,,LT-012,login,,,Ashley Martin,Boston,,,Laboratory Technician,Restricted,,,2026-01-06 07:50:00
,,HELIX,,Research,,,LT-017,login,,,Amanda Ward,Tucson,,,Laboratory Technician,Restricted,,,2026-01-06 07:50:00
,,Sample Processing,,Research,,,LT-028,login,,,Rebecca Zavala,Tucson,,,Laboratory Technician,Restricted,,,2026-01-06 07:50:00
,,FDA Submission,,Regulatory Affairs,,,RA-023,login,,,Michelle Paul,Tucson,,,Regulatory Affairs Specialist,Restricted,,,2026-01-06 07:50:00
,,FDA Submission,,Regulatory Affairs,,,RA-040,login,,,Kristen Oneal,Boston,,,Regulatory Affairs Specialist,Restricted,,,2026-01-06 07:50:00
,,Learning & Development,,Human Resources,,,HR-010,login,,,Julia Solomon,Boston,,,Human Resources Specialist,Restricted,,,2026-01-06 07:50:00
,,HELIX,,Research,,,LT-007,login,,,David Carroll,Boston,,,Laboratory Technician,Restricted,,,2026-01-06 07:51:00
,,Sample Processing,,Research,,,LT-008,login,,,Amy Baker,Boston,,,Laboratory Technician,Restricted,,,2026-01-06 07:51:00
,,Laboratory Operations,,Research,,,LT-024,login,,,Sharon Henry,Tucson,,,Laboratory Technician,Restricted,,,2026-01-06 07:51:00
,,Quality Compliance,,Regulatory Affairs,,,RA-028,login,,,Andrew Payne,Tucson,,,Regulatory Affairs Specialist,Restricted,,,2026-01-06 07:51:00
,,HELIX,,Regulatory Affairs,,,RA-029,login,,,Jeffrey Weiss,Tucson,,,Regulatory Affairs Specialist,Restricted,,,2026-01-06 07:51:00
,,HELIX,,Regulatory Affairs,,,RA-037,login,,,Ryan Perez,Tucson,,,Regulatory Affairs Specialist,Restricted,,,2026-01-06 07:51:00
,,Payroll,,Finance,,,FA-002,login,,,Paul Dixon,Tucson,,,Finance Analyst,Confidential,,,2026-01-06 07:51:00
,,Budget Planning,,Finance,,,FA-023,login,,,Zachary Becker,Tucson,,,Finance Analyst,Confidential,,,2026-01-06 07:51:00
,,Payroll,,Finance,,,FA-025,login,,,Melissa Jennings,Boston,,,Finance Analyst,Confidential,,,2026-01-06 07:51:00
,,HELIX,,Regulatory Affairs,,,RA-005,login,,,Tracy Anderson,Boston,,,Regulatory Affairs Specialist,Restricted,,,2026-01-06 07:52:00
,,Quality Compliance,,Regulatory Affairs,,,RA-019,login,,,Larry Wilcox,Tucson,,,Regulatory Affairs Specialist,Restricted,,,2026-01-06 07:52:00
,,FDA Submission,,Regulatory Affairs,,,RA-038,login,,,Erin Mcintyre,Tucson,,,Regulatory Affairs Specialist,Restricted,,,2026-01-06 07:52:00
,,Budget Planning,,Finance,,,FA-003,login,,,Kimberly Kramer,Boston,,,Finance Analyst,Confidential,,,2026-01-06 07:52:00
,,Budget Planning,,Finance,,,FA-026,login,,,Tammy Lopez,Boston,,,Finance Analyst,Confidential,,,2026-01-06 07:52:00
,,Procurement,,Finance,,,FA-030,login,,,Molly Moore,Tucson,,,Finance Analyst,Confidential,,,2026-01-06 07:52:00
,,Payroll,,Finance,,,FA-035,login,,,Christopher Patterson,Tucson,,,Finance Analyst,Confidential,,,2026-01-06 07:52:00
,,Laboratory Operations,,Research,,,LT-005,login,,,Christopher Smith,Boston,,,Laboratory Technician,Restricted,,,2026-01-06 07:53:00
,,Sample Processing,,Research,,,LT-016,login,,,Elizabeth Anderson,Boston,,,Laboratory Technician,Restricted,,,2026-01-06 07:53:00
,,HELIX,,Research,,,LT-040,login,,,Marcus Tucker,Tucson,,,Laboratory Technician,Restricted,,,2026-01-06 07:53:00
,,Procurement,,Finance,,,FA-005,login,,,Richard Martinez,Tucson,,,Finance Analyst,Confidential,,,2026-01-06 07:53:00
,,Procurement,,Finance,,,FA-034,login,,,Steven Stevens,Boston,,,Finance Analyst,Confidential,,,2026-01-06 07:53:00
,,Benefits,,Human Resources,,,HR-013,login,,,Alexa Sanders,Tucson,,,Human Resources Specialist,Restricted,,,2026-01-06 07:53:00
,,Recruiting,,Human Resources,,,HR-022,login,,,Gregory Guerrero,Boston,,,Human Resources Specialist,Restricted,,,2026-01-06 07:53:00
,,Sample Processing,,Research,,,LT-002,login,,,Doris Singh,Boston,,,Laboratory Technician,Restricted,,,2026-01-06 07:54:00
,,Sample Processing,,Research,,,LT-018,login,,,Jessica Hanson,Tucson,,,Laboratory Technician,Restricted,,,2026-01-06 07:54:00
,,Sample Processing,,Research,,,LT-033,login,,,Christine Rice,Boston,,,Laboratory Technician,Restricted,,,2026-01-06 07:54:00
,,Quality Compliance,,Regulatory Affairs,,,RA-009,login,,,Valerie Cole,Tucson,,,Regulatory Affairs Specialist,Restricted,,,2026-01-06 07:54:00
,,HELIX,,Regulatory Affairs,,,RA-018,login,,,Robert Stokes,Boston,,,Regulatory Affairs Specialist,Restricted,,,2026-01-06 07:54:00
,,Procurement,,Finance,,,FA-012,login,,,Cory Hammond,Tucson,,,Finance Analyst,Confidential,,,2026-01-06 07:54:00
,,Infrastructure,,Information Technology,,,IT-026,login,,,James Clark,Boston,,,IT Security Administrator,Trade Secret,,,2026-01-06 07:54:00
,,Clinical Support,,Research,,,RS-018,login,,,Linda Smith,Boston,,,Research Scientist,Trade Secret,,,2026-01-06 07:55:00
,,Clinical Support,,Research,,,RS-022,login,,,Timothy James,Boston,,,Research Scientist,Trade Secret,,,2026-01-06 07:55:00
,,Analytical Chemistry,,Research,,,RS-050,login,,,Rhonda Wallace,Tucson,,,Research Scientist,Trade Secret,,,2026-01-06 07:55:00
,,Analytical Chemistry,,Research,,,RS-056,login,,,David Keller,Tucson,,,Research Scientist,Trade Secret,,,2026-01-06 07:55:00
,,HELIX,,Research,,,RS-083,login,,,Brandy Armstrong,Tucson,,,Research Scientist,Trade Secret,,,2026-01-06 07:55:00
,,Analytical Chemistry,,Research,,,RS-103,login,,,Timothy Huynh,Boston,,,Research Scientist,Trade Secret,,,2026-01-06 07:55:00
,,Analytical Chemistry,,Research,,,RS-137,login,,,Alexandria Bishop,Tucson,,,Research Scientist,Trade Secret,,,2026-01-06 07:55:00
,,HELIX,,Research,,,LT-003,login,,,Mary Blackburn,Boston,,,Laboratory Technician,Restricted,,,2026-01-06 07:55:00
,,HELIX,,Regulatory Affairs,,,RA-008,login,,,Donna Bell,Tucson,,,Regulatory Affairs Specialist,Restricted,,,2026-01-06 07:55:00
,,HELIX,,Regulatory Affairs,,,RA-011,login,,,Crystal Griffin,Boston,,,Regulatory Affairs Specialist,Restricted,,,2026-01-06 07:55:00
,,Procurement,,Finance,,,FA-006,login,,,Bryan Jones,Tucson,,,Finance Analyst,Confidential,,,2026-01-06 07:55:00
,,Clinical Support,,Research,,,RS-024,login,,,Nicole Warner,Tucson,,,Research Scientist,Trade Secret,,,2026-01-06 07:56:00
,,HELIX,,Research,,,RS-044,login,,,Mary Cisneros,Tucson,,,Research Scientist,Trade Secret,,,2026-01-06 07:56:00
,,Sample Processing,,Research,,,LT-013,login,,,Jill Hall,Tucson,,,Laboratory Technician,Restricted,,,2026-01-06 07:56:00
,,Procurement,,Finance,,,FA-010,login,,,Joseph Beasley,Tucson,,,Finance Analyst,Confidential,,,2026-01-06 07:56:00
,,Budget Planning,,Finance,,,FA-018,login,,,Jessica Haynes,Boston,,,Finance Analyst,Confidential,,,2026-01-06 07:56:00
,,Budget Planning,,Finance,,,FA-027,login,,,Joseph Lee,Boston,,,Finance Analyst,Confidential,,,2026-01-06 07:56:00
,,Budget Planning,,Finance,,,FA-028,login,,,Jamie Cannon,Tucson,,,Finance Analyst,Confidential,,,2026-01-06 07:56:00
,,Procurement,,Finance,,,FA-032,login,,,Megan Cox,Boston,,,Finance Analyst,Confidential,,,2026-01-06 07:56:00
,,Clinical Support,,Research,,,RS-045,login,,,Thomas Butler,Boston,,,Research Scientist,Trade Secret,,,2026-01-06 07:57:00
,,Clinical Support,,Research,,,RS-119,login,,,Michael Gomez,Boston,,,Research Scientist,Trade Secret,,,2026-01-06 07:57:00
,,Payroll,,Finance,,,FA-001,login,,,Lori Gibson,Tucson,,,Finance Analyst,Confidential,,,2026-01-06 07:57:00
,,Payroll,,Finance,,,FA-017,login,,,James Gibbs,Tucson,,,Finance Analyst,Confidential,,,2026-01-06 07:57:00
,,Analytical Chemistry,,Research,,,RS-008,login,,,Keith Miller,Tucson,,,Research Scientist,Trade Secret,,,2026-01-06 07:58:00
,,Biomarker Discovery,,Research,,,RS-011,login,,,Jon Roberts,Boston,,,Research Scientist,Trade Secret,,,2026-01-06 07:58:00
,,HELIX,,Research,,,RS-059,login,,,Madeline Nolan,Tucson,,,Research Scientist,Trade Secret,,,2026-01-06 07:58:00
,,Laboratory Operations,,Research,,,LT-010,login,,,Chelsea Miller,Boston,,,Laboratory Technician,Restricted,,,2026-01-06 07:58:00
,,Quality Compliance,,Regulatory Affairs,,,RA-021,login,,,Angela Ramirez,Tucson,,,Regulatory Affairs Specialist,Restricted,,,2026-01-06 07:58:00
,,Payroll,,Finance,,,FA-008,login,,,Joanna Powell,Boston,,,Finance Analyst,Confidential,,,2026-01-06 07:58:00
,,Payroll,,Finance,,,FA-009,login,,,Debra Fisher,Tucson,,,Finance Analyst,Confidential,,,2026-01-06 07:58:00
,,Payroll,,Finance,,,FA-021,login,,,Mary Velasquez,Tucson,,,Finance Analyst,Confidential,,,2026-01-06 07:58:00
,,Budget Planning,,Finance,,,FA-022,login,,,Joseph Morgan,Boston,,,Finance Analyst,Confidential,,,2026-01-06 07:58:00
,,Recruiting,,Human Resources,,,HR-023,login,,,Louis Crawford,Tucson,,,Human Resources Specialist,Restricted,,,2026-01-06 07:58:00
,,Sample Processing,,Research,,,LT-004,login,,,Madeline Valentine,Tucson,,,Laboratory Technician,Restricted,,,2026-01-06 07:59:00
,,Sample Processing,,Research,,,LT-006,login,,,Catherine Patterson,Boston,,,Laboratory Technician,Restricted,,,2026-01-06 07:59:00
,,HELIX,,Regulatory Affairs,,,RA-027,login,,,Jeffrey Ellison,Tucson,,,Regulatory Affairs Specialist,Restricted,,,2026-01-06 07:59:00
,,Quality Compliance,,Regulatory Affairs,,,RA-039,login,,,Brittany Stevenson,Tucson,,,Regulatory Affairs Specialist,Restricted,,,2026-01-06 07:59:00
,,Biomarker Discovery,,Research,,,RS-002,login,,,John Wright,Boston,,,Research Scientist,Trade Secret,,,2026-01-06 08:00:00
,,Analytical Chemistry,,Research,,,RS-007,login,,,Christopher Lang,Tucson,,,Research Scientist,Trade Secret,,,2026-01-06 08:00:00
,,HELIX,,Research,,,RS-013,login,,,Timothy Gardner,Boston,,,Research Scientist,Trade Secret,,,2026-01-06 08:00:00
,,Biomarker Discovery,,Research,,,RS-025,login,,,Justin Lee,Tucson,,,Research Scientist,Trade Secret,,,2026-01-06 08:00:00
,,Clinical Support,,Research,,,RS-037,login,,,Karen Shaw,Boston,,,Research Scientist,Trade Secret,,,2026-01-06 08:00:00
,,Biomarker Discovery,,Research,,,RS-098,login,,,Janet Rodriguez,Tucson,,,Research Scientist,Trade Secret,,,2026-01-06 08:00:00
,,Analytical Chemistry,,Research,,,RS-113,login,,,Jordan Williams,Tucson,,,Research Scientist,Trade Secret,,,2026-01-06 08:00:00
,,HELIX,,Research,,,LT-044,login,,,Scott Buck,Tucson,,,Laboratory Technician,Restricted,,,2026-01-06 08:00:00
,,Quality Compliance,,Regulatory Affairs,,,RA-032,login,,,Donald Perez,Boston,,,Regulatory Affairs Specialist,Restricted,,,2026-01-06 08:00:00
,,Budget Planning,,Finance,,,FA-013,login,,,Gerald Liu,Boston,,,Finance Analyst,Confidential,,,2026-01-06 08:00:00
,,Procurement,,Finance,,,FA-029,login,,,Maria Robinson,Tucson,,,Finance Analyst,Confidential,,,2026-01-06 08:00:00
,,Analytical Chemistry,,Research,,,RS-058,login,,,Cynthia Kennedy,Boston,,,Research Scientist,Trade Secret,,,2026-01-06 08:01:00
,,Biomarker Discovery,,Research,,,RS-076,login,,,Tracy Alvarez,Boston,,,Research Scientist,Trade Secret,,,2026-01-06 08:01:00
,,Clinical Support,,Research,,,RS-085,login,,,Antonio Guerra,Tucson,,,Research Scientist,Trade Secret,,,2026-01-06 08:01:00
,,HELIX,,Research,,,RS-100,login,,,Barbara Barnett,Boston,,,Research Scientist,Trade Secret,,,2026-01-06 08:01:00
,,HELIX,,Research,,,RS-129,login,,,Deborah Bradley,Boston,,,Research Scientist,Trade Secret,,,2026-01-06 08:01:00
,,Quality Compliance,,Regulatory Affairs,,,RA-020,login,,,Krista Hurst,Boston,,,Regulatory Affairs Specialist,Restricted,,,2026-01-06 08:01:00
,,Clinical Support,,Research,,,RS-023,login,,,Karen Lynch,Tucson,,,Research Scientist,Trade Secret,,,2026-01-06 08:02:00
,,HELIX,,Research,,,RS-062,login,,,Christian Curry,Boston,,,Research Scientist,Trade Secret,,,2026-01-06 08:02:00
,,Biomarker Discovery,,Research,,,RS-068,login,,,Joshua Wheeler,Boston,,,Research Scientist,Trade Secret,,,2026-01-06 08:02:00
,,Analytical Chemistry,,Research,,,RS-074,login,,,Sandy Cook,Boston,,,Research Scientist,Trade Secret,,,2026-01-06 08:02:00
,,HELIX,,Research,,,RS-130,login,,,Joseph Wood,Boston,,,Research Scientist,Trade Secret,,,2026-01-06 08:02:00
,,FDA Submission,,Regulatory Affairs,,,RA-022,login,,,Elizabeth Potter,Boston,,,Regulatory Affairs Specialist,Restricted,,,2026-01-06 08:02:00
,,Benefits,,Human Resources,,,HR-005,login,,,Felicia Fisher,Tucson,,,Human Resources Specialist,Restricted,,,2026-01-06 08:02:00
,,Learning & Development,,Human Resources,,,HR-007,login,,,Holly Johns,Tucson,,,Human Resources Specialist,Restricted,,,2026-01-06 08:02:00
,,Biomarker Discovery,,Research,,,RS-055,login,,,Kelly Wallace,Boston,,,Research Scientist,Trade Secret,,,2026-01-06 08:03:00
,,Recruiting,,Human Resources,,,HR-014,login,,,Tina Lewis,Boston,,,Human Resources Specialist,Restricted,,,2026-01-06 08:03:00
,,Benefits,,Human Resources,,,HR-021,login,,,Robert Harris,Tucson,,,Human Resources Specialist,Restricted,,,2026-01-06 08:03:00
,,HELIX,,Research,,,RS-014,login,,,Tammy Castaneda,Boston,,,Research Scientist,Trade Secret,,,2026-01-06 08:04:00
,,Analytical Chemistry,,Research,,,RS-115,login,,,Julie Townsend,Tucson,,,Research Scientist,Trade Secret,,,2026-01-06 08:04:00
,,Biomarker Discovery,,Research,,,RS-134,login,,,Stephen Duffy,Boston,,,Research Scientist,Trade Secret,,,2026-01-06 08:04:00
,,Biomarker Discovery,,Research,,,RS-003,login,,,Matthew Adams,Tucson,,,Research Scientist,Trade Secret,,,2026-01-06 08:05:00
,,Biomarker Discovery,,Research,,,RS-048,login,,,Kevin Bates,Boston,,,Research Scientist,Trade Secret,,,2026-01-06 08:05:00
,,Clinical Support,,Research,,,RS-054,login,,,Chelsea Vega,Tucson,,,Research Scientist,Trade Secret,,,2026-01-06 08:05:00
,,Cloud Migration,,Information Technology,,,IT-015,login,,,Todd Reed,Boston,,,IT Security Administrator,Trade Secret,,,2026-01-06 08:05:00
,,Clinical Support,,Research,,,RS-017,login,,,Emily Ortiz,Boston,,,Research Scientist,Trade Secret,,,2026-01-06 08:06:00
,,Biomarker Discovery,,Research,,,RS-084,login,,,Robert Wilson,Tucson,,,Research Scientist,Trade Secret,,,2026-01-06 08:06:00
,,Clinical Support,,Research,,,RS-089,login,,,Sandra Ramos,Boston,,,Research Scientist,Trade Secret,,,2026-01-06 08:06:00
,,HELIX,,Research,,,RS-118,login,,,Jamie Bennett,Tucson,,,Research Scientist,Trade Secret,,,2026-01-06 08:06:00
,,Clinical Support,,Research,,,RS-132,login,,,Jeanette Ibarra,Boston,,,Research Scientist,Trade Secret,,,2026-01-06 08:06:00
,,Quality Compliance,,Regulatory Affairs,,,RA-002,login,,,James Jones,Boston,,,Regulatory Affairs Specialist,Restricted,,,2026-01-06 08:06:00
,,Recruiting,,Human Resources,,,HR-025,login,,,Renee Martinez,Boston,,,Human Resources Specialist,Restricted,,,2026-01-06 08:06:00
,,Endpoint Security,,Information Technology,,,IT-014,login,,,Jennifer Clark,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-06 08:06:00
,,Endpoint Security,,Information Technology,,,IT-034,login,,,Erin Wilson,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-06 08:06:00
,,HELIX,,Research,,,RS-082,login,,,Jermaine Ramirez,Boston,,,Research Scientist,Trade Secret,,,2026-01-06 08:07:00
,,Biomarker Discovery,,Research,,,RS-109,login,,,Margaret Marsh,Boston,,,Research Scientist,Trade Secret,,,2026-01-06 08:07:00
,,Quality Compliance,,Regulatory Affairs,,,RA-006,login,,,Howard Conway,Tucson,,,Regulatory Affairs Specialist,Restricted,,,2026-01-06 08:07:00
,,Quality Compliance,,Regulatory Affairs,,,RA-031,login,,,Kimberly Bautista,Tucson,,,Regulatory Affairs Specialist,Restricted,,,2026-01-06 08:07:00
,,Biomarker Discovery,,Research,,,RS-005,login,,,Roger Silva,Boston,,,Research Scientist,Trade Secret,,,2026-01-06 08:08:00
,,Analytical Chemistry,,Research,,,RS-060,login,,,Rebecca Johnson,Tucson,,,Research Scientist,Trade Secret,,,2026-01-06 08:08:00
,,Clinical Support,,Research,,,RS-101,login,,,Amber Gomez,Tucson,,,Research Scientist,Trade Secret,,,2026-01-06 08:08:00
,,Quality Compliance,,Regulatory Affairs,,,RA-025,login,,,Gail Garcia,Boston,,,Regulatory Affairs Specialist,Restricted,,,2026-01-06 08:08:00
,,Learning & Development,,Human Resources,,,HR-020,login,,,Kendra Weiss,Boston,,,Human Resources Specialist,Restricted,,,2026-01-06 08:08:00
,,Cloud Migration,,Information Technology,,,IT-027,login,,,Rodney Blackburn,Tucson,,,IT Security Administrator,Trade Secret,,,2026-01-06 08:08:00
,,Biomarker Discovery,,Research,,,RS-123,login,,,Maria Mendez,Boston,,,Research Scientist,Trade Secret,,,2026-01-06 08:09:00
,,Clinical Support,,Research,,,RS-127,login,,,Robin Wise,Tucson,,,Research Scientist,Trade Secret,,,2026-01-06 08:09:00
,,HELIX,,Research,,,RS-136,login,,,Steven Roth,Tucson,,,Research Scientist,Trade Secret,,,2026-01-06 08:09:00
,,Quality Compliance,,Regulatory Affairs,,,RA-024,login,,,Kathleen Hill,Tucson,,,Regulatory Affairs Specialist,Restricted,,,2026-01-06 08:09:00
,,Quality Compliance,,Regulatory Affairs,,,RA-033,login,,,Nicole Taylor,Boston,,,Regulatory Affairs Specialist,Restricted,,,2026-01-06 08:09:00
,,Recruiting,,Human Resources,,,HR-016,login,,,William Simmons,Tucson,,,Human Resources Specialist,Restricted,,,2026-01-06 08:09:00
,,Clinical Support,,Research,,,RS-036,login,,,Travis Bradley,Tucson,,,Research Scientist,Trade Secret,,,2026-01-06 08:10:00
